GLCode,ACCOUNTS,ACT2,AHMED        ,AKSHAYR,ALISON,ANDRIESD,ARISH        ,ARNOVM,ASHLEYC,ASHMEERD,AUTH1,BABALWA      ,BHAVANAM,BILAL,BOB,BONGAZ       ,BRADLEYJ,BRENTON,BUKELANI,CARL,CAROLT,CELESCIA,CHARLESE     ,CHARLESM,CHLAUTH,CHLBUY,CHLREQ,CHRISK,CHRISTIAAN   ,CHRISV       ,CLAUDES      ,CPTREQ,CRAIG        ,DANIELLEM    ,DARREL       ,DAVID        ,DAVIDS,DAVIDW       ,DENISES,DINESH,DONOVAN      ,DURVESHB     ,EDGARL       ,EDUANM,EUGENEJ      ,EVNBUY,EVNREQ,FORTUNATE    ,FRANCOIS,FRIKKIE      ,GARYW        ,GEOFFREY     ,GEORGE,GERTR,GRAHAMT      ,HANNELIE     ,HEINRICHE    ,HENDRIKL     ,HENNIEC,HENNIEVD,HENRYK,HLONIPHANI   ,HUGOB,IT           ,JAROD,JAUNM        ,JIVESHS,JOASHM,JOHANK       ,JOHANNESB,JOHNJ        ,JPVAN,KAREN,KARISAN,KARLC,KATED        ,KELSEYL,KESHNEE      ,KEVIN        ,KUBEN        ,LAURENCE     ,LEONI COMBRINK,LEONIEC,LINDA,LINETTE      ,LIZELLE      ,LUVUYO,MARKB,MARKD,MARKO        ,MARKS,MARLENEG,MARTINB,MATTHEWG     ,MBUSELENIZ   ,MERINDAG,MIKEH,MONAN        ,MOSESM,MTHOBISI,MTHOKOZISI,MUDDASAR     ,NAZEERE,NEIL,NELLIED,NIRVANA,NISHANC,NIZAAMA      ,NJABULOM,NJAUBLOM,NKULULEKOL,NOMCEBON,NOMFUNEKAM,NONKU,NTUTHUKO     ,OWENP        ,OWENR,PAULC,PETER        ,PHILIPV,PMBBUYER,PMBREQ,REGINALD,RICKS,ROBERT       ,RYANB        ,SAGREEM,SANDILES,SANELEN,SAROJ,SCHALKVL     ,SERVESHAN,SHAMLAG,SHANEG,SHANTALN,STANLEYT,STEPHANR,STRINI,SUEJ,TEGAN,TERENCE      ,THEMBENIN,THEOLAN      ,TKW1REQ,TKWAUTH,TKWAUTH1,TKWEMERG,TKWREQ,TRACEYH      ,TRACYS       ,UMHAUTH,UMHBUY,UMHGRN,UMHREQ,VANESSAA     ,WILHELMW,YOLISA       ,YURI,ZAHEER
CHLCHLADM290703,,1,,,,,,,,,1,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM300201,,1,,,,,,,,,1,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM300300,,1,,,,,,,,,1,,1,,1,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM300401,,1,,,,,,,,,1,,1,,,,,,,1,1,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM302101,,1,,,,,,,,,1,,1,,,1,,,,1,1,,,,1,1,1,,,,,,1,,,1,1,,1,1,,,,1,,,,1,,,1,,,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,1,1,,,,,,,,,1,,1,,,1,1,1,1,1,,,1,1,,,,1,1,1,1,,,,,1,,,1,1,,,1,,1,,,1,1,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,1,,,1,,1
CHLCHLADM302300,,1,,,,,,,,,1,,1,,,1,,,,1,1,,,,1,1,1,,,,,,1,,,1,1,,1,1,,,,1,,,,,,,1,,,1,,,1,,,,1,,,,1,,,,,1,,,1,,,1,1,,,,,,,,,1,,1,,,1,1,,1,1,,,1,1,,,,1,1,1,1,,,,,1,,,1,1,,,1,,1,,,1,1,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,1,,,1,,1
CHLCHLADM303900,,1,,,,,,,,,1,,1,,,1,,,,1,1,,,,1,1,1,,,,,,1,,,1,1,,1,1,1,,,1,,,,1,,,1,,,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,,1,,,,,,,,,1,,,,,1,1,,1,1,,,1,1,,,,1,1,1,1,,,,,1,,,,1,,,1,,1,,,1,1,,,1,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,1,,,1,,1
CHLCHLADM303901,,1,,,,,,,,,1,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
CHLCHLADM304200,,,,,1,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,1,,,1,1,,1,1,,,,,,,,1,,,1,,,1,,1,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,1,,,,1,,,1,,,,1,1,1,1,,,,,1,,,1,,,,1,,1,,,,,,,1,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,1
CHLCHLADM400700,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,1
